"Humcfs_id","chromosome_number","name","chrlocation","cytoband","type","frequency","gene_ensembl_id","gene_name","havana_transcript_id","gene_location","gene_orientation","exon_id","exon_number","gene_description","disease_description","miRNA_location","miRNA_strand","miRNA_id","miRNA_name","miRNA_derived","pmid"
"3063","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000149782","PLCB3","OTTHUMT00000396405","64251547-64269150","+","ENSE00002245154, ENSE00001195847, ENSE00001195840, ENSE00001195833, ENSE00001195828, ENSE00001195819, ENSE00001195811, ENSE00001195800, ENSE00001195792, ENSE00001195781, ENSE00001195771, ENSE000011957","32","phospholipase C, beta 3 (phosphatidylinositol-specific)","Islet Cell Tumor,Attention deficit hyperactivity disorder,Dermatitis, Atopic,Neuroendocrine Tumors,Multiple Endocrine Neoplasia Type 1,Diabetes Mellitus, Experimental,Carcinogenesis,Hyperparathyroidism,Dermatitis,Inflammation,Eczema,Myocardial Infarction,HIV Infections","NA","NA","NA","NA","NA","3422214"
"3064","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000132744","ACY3","OTTHUMT00000394003","67642701-67647583","-","ENSE00002172043, ENSE00001185309, ENSE00001185316, ENSE00000904445, ENSE00003591022, ENSE00002167322, ENSE00002155675","7","aspartoacylase (aminocyclase) 3","Liver carcinoma,Neuroblastoma,Central neuroblastoma,Renal Cell Carcinoma,Liver neoplasms","NA","NA","NA","NA","NA","3422214"
"3065","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000162298","SYVN1","OTTHUMT00000385281","65130971-65133320","-","ENSE00002180798, ENSE00003658227, ENSE00003791254, ENSE00003622829, ENSE00003489942, ENSE00001120087, ENSE00003496155, ENSE00002200576","8","synovial apoptosis inhibitor 1, synoviolin","Squamous cell carcinoma,Charcot-Marie-Tooth Disease,DiGeorge Syndrome,Hemangiopericytoma, Malignant,Chromosome 3, monosomy 3p,Malignant neoplasm of kidney,Experimental Autoimmune Encephalomyelitis,synovial sarcoma,Sarcoma, Spindle Cell,Arthropathy,Parasitemia,Ankylosing spondylitis,Renal Cell Carcinoma,Congenital chromosomal disease,Renal carcinoma,Arthritis, Collagen-Induced,Liver Cirrhosis,Lymphoma,Rheumatoid Arthritis,Monosomy,Muscular Dystrophies, Limb-Girdle,Obesity,Hemangiopericytoma, benign,Psoriasis vulgaris,Wolfram Syndrome,Acute Undifferentiated Leukemia","NA","NA","NA","NA","NA","3422214"
"3066","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000176485","PLA2G16","OTTHUMT00000396634","63590254-63608581","-","ENSE00002269933, ENSE00002248081","2","phospholipase A2, group XVI","Pulmonary lymphangioleiomyomatosis,Malignant neoplasm of ovary,Nasopharyngeal carcinoma,Nodule,Ovarian Carcinoma,Epithelial ovarian cancer","NA","NA","NA","NA","NA","3422214"
"3067","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000172922","RNASEH2C","OTTHUMT00000390697","65719170-65720818","-","ENSE00002182312, ENSE00001190968, ENSE00002186358","3","ribonuclease H2, subunit C","AICARDI-GOUTIERES SYNDROME,AICARDI-GOUTIERES SYNDROME 3,AICARDI-GOUTIERES SYNDROME 1,Bacteremia,Cystic kidney,Polycystic Kidney Diseases,Mycoses","NA","NA","NA","NA","NA","3422214"
"3068","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000149273","RPS3","OTTHUMT00000384165","75400692-75405657","+","ENSE00002143575, ENSE00003590782, ENSE00002159272","3","ribosomal protein S3","Squamous cell carcinoma,Osteosarcoma of bone,melanoma,Secondary malignant neoplasm of lung,Oedema auricular,Osteosarcoma,Transient ischemia,Ischemia","NA","NA","NA","NA","NA","3422214"
"3069","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000175115","PACS1","OTTHUMT00000391702","66241227-66243234","+","ENSE00002147672, ENSE00001280317, ENSE00002145954","3","phosphofurin acidic cluster sorting protein 1","Substance-Related Disorders,Intellectual Disability,Tobacco Use Disorder,Obesity, Morbid,Obesity,HIV Infections,MENTAL RETARDATION, AUTOSOMAL DOMINANT 17","NA","NA","NA","NA","NA","3422214"
"3070","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000175581","MRPL48","OTTHUMT00000397741","73787906-73864605","+","ENSE00002273179, ENSE00001775326, ENSE00003487959, ENSE00003571243, ENSE00003616883, ENSE00003671203, ENSE00003600762, ENSE00002227052","8","NA","NA","NA","NA","NA","NA","NA","3422214"
"3071","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000187726","DNAJB13","OTTHUMT00000398105","73964843-73970238","+","ENSE00002318436, ENSE00003556881, ENSE00001381264, ENSE00002483728, ENSE00002321766","5","DnaJ (Hsp40) homolog, subfamily B, member 13","Narcolepsy","NA","NA","NA","NA","NA","3422214"
"3072","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000084207","GSTP1","OTTHUMT00000268512","67586104-67586439","+","ENSE00001876641, ENSE00001918213","2","glutathione S-transferase pi 1","Psychoses, Substance-Induced,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lupus Erythematosus, Systemic,Bladder Neoplasm,Bronchopulmonary Dysplasia,Arsenic Poisoning,Malignant neoplasm of kidney,Fanconi Anemia,Carotid Atherosclerosis,ovarian neoplasm,Papillomavirus Infections,Dyspepsia,Respiratory Tract Infections,Prostatic Neoplasms,Hearing Loss, Partial,Occupational Diseases,Malignant neoplasm of testis,Childhood Leukemia,Anoxia,Sensation Disorders,Malignant neoplasm of endometrium,Astrocytoma,Carcinoma of larynx,Myeloid Leukemia,Immediate hypersensitivity,Squamous cell carcinoma of the head and neck,Aplastic anemia, idiopathic,Stomach Diseases,Neoplasms, Second Primary,Prenatal Exposure Delayed Effects,Paresthesia,Hepatitis, Chronic,Breast Carcinoma,Renal Cell Carcinoma,Organophosphate poisoning,Biliary cirrhosis,Alzheimer's Disease,Malignant neoplasm of liver,Mucosa-Associated Lymphoid Tissue Lymphoma,Carotid Artery Diseases,Actinic keratosis,Acute Coronary Syndrome,Juve","NA","NA","NA","NA","NA","3422214"
"3073","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000133884","DPF2","OTTHUMT00000387309","65345741-65352981","+","ENSE00002201227, ENSE00003479602, ENSE00003509086, ENSE00003691057","4","NA","NA","NA","NA","NA","NA","NA","3422214"
"3074","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000172531","PPP1CA","OTTHUMT00000397662","67400855-67421181","-","ENSE00002304418, ENSE00003606732, ENSE00002234414, ENSE00002314474","4","protein phosphatase 1, catalytic subunit, alpha isozyme","Squamous cell carcinoma,Liver carcinoma,Severe Acute Respiratory Syndrome,Mammary Neoplasms,Glioblastoma,Maxillary Sinus Squamous Cell Carcinoma,Neoplasm Metastasis,Malignant neoplasm of breast,Breast Carcinoma","NA","NA","NA","NA","NA","3422214"
"3075","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000174080","CTSF","OTTHUMT00000393055","66566375-66568841","-","ENSE00002149325, ENSE00003668465, ENSE00001188372, ENSE00003614960, ENSE00002179311","5","cathepsin F","Bipolar Disorder,CEROID LIPOFUSCINOSIS, NEURONAL, 13,Paragonimiasis,Adult Neuronal Ceroid Lipofuscinosis,Neuronal Ceroid-Lipofuscinoses,Diabetic Retinopathy","NA","NA","NA","NA","NA","3422214"
"3076","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000168067","MAP4K2","OTTHUMT00000143175","64789137-64803241","-","ENSE00003499795, ENSE00003552890, ENSE00003459589, ENSE00003621102, ENSE00003563460, ENSE00003545632, ENSE00003507715, ENSE00003567017, ENSE00003669091, ENSE00003658023, ENSE00003659578, ENSE000036500","32","mitogen-activated protein kinase kinase kinase kinase 2","Metabolic Syndrome X,Ischemia,Coronary heart disease,Ketosis,Coronary Arteriosclerosis,Diabetes Mellitus, Insulin-Dependent,Gestational Diabetes,Diabetic Nephropathy,Maturity onset diabetes mellitus in young,Hyperinsulinism,Diabetes in children,Diabetes Mellitus, Non-Insulin-Dependent,Diabetes,Neonatal diabetes mellitus,Non-alcoholic Fatty Liver Disease,Cardiac defects,Diabetes Mellitus,Gout,Hypertensive disease,DIABETES MELLITUS, PERMANENT NEONATAL,Endothelial dysfunction,Diabetes mellitus autosomal dominant type II (disorder),Hyperglycemia","NA","NA","NA","NA","NA","3422214"
"3077","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000110717","NDUFS8","OTTHUMT00000394212","68030760-68036348","+","ENSE00002181179, ENSE00003500594, ENSE00003572838, ENSE00002151511","4","NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)","Leigh Disease,MITOCHONDRIAL COMPLEX I DEFICIENCY,Tobacco Use Disorder,Degenerative polyarthritis,NADH:Q(1) Oxidoreductase deficiency,Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency","NA","NA","NA","NA","NA","3422214"
"3078","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000184743","ATL3","OTTHUMT00000396639","63629253-63671909","-","ENSE00002250876, ENSE00001291691, ENSE00002478444, ENSE00002468685, ENSE00001305045, ENSE00001328306, ENSE00001325677, ENSE00001306614, ENSE00001319139, ENSE00002521282, ENSE00001316752, ENSE000035281","13","atlastin GTPase 3","bone destruction,Idiopathic pulmonary arterial hypertension,Sensory Neuropathy, Hereditary,Hereditary Sensory Autonomic Neuropathy, Type 1,Idiopathic pulmonary hypertension,NEUROPATHY, HEREDITARY SENSORY, TYPE IF,Sensory neuropathy","NA","NA","NA","NA","NA","3422214"
"3079","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173264","GPR137","OTTHUMT00000397053","64286512-64288005","+","ENSE00002308686, ENSE00003673168, ENSE00002454461","3","G protein-coupled receptor 137","Liver carcinoma,Malignant neoplasm of stomach,Malignant tumor of colon,Carcinogenesis,Stomach Carcinoma,Hepatocarcinogenesis,Lentivirus Infections,Colon Carcinoma,Liver neoplasms","NA","NA","NA","NA","NA","3422214"
"3080","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000168004","HRASLS5","OTTHUMT00000396377","63466146-63490532","-","ENSE00002323522, ENSE00003553871, ENSE00003574326, ENSE00002294319","4","NA","NA","NA","NA","NA","NA","NA","3422214"
"3081","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000133318","RTN3","OTTHUMT00000397847","63681496-63758421","+","ENSE00002321624, ENSE00002321698, ENSE00001093686, ENSE00001196662, ENSE00003550054, ENSE00003611915, ENSE00003458245, ENSE00002323253","8","reticulon 3","Tobacco Use Disorder,Bipolar I disorder,Influenza,Malaria,Impaired cognition,Carcinogenesis,Acral pseudolymphomatous angiokeratoma of children (APACHE),Respiratory distress,MRSA - Methicillin resistant Staphylococcus aureus infection,Nonorganic psychosis,Malaria, Cerebral,Nosocomial pneumonia,Schizophrenia,Psychotic Disorders,Infectious disease of lung,Schizoaffective Disorder,Alzheimer's Disease,Anemia","NA","NA","NA","NA","NA","3422214"
"3082","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000171067","C11orf24","OTTHUMT00000394754","68263692-68271989","-","ENSE00003800060, ENSE00002143508, ENSE00002189653","3","NA","NA","NA","NA","NA","NA","NA","3422214"
"3083","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173120","KDM2A","OTTHUMT00000393139","67119269-67257665","+","ENSE00002184635, ENSE00003661017, ENSE00001634650, ENSE00001657246, ENSE00001641865, ENSE00001705982, ENSE00003586141, ENSE00003643134, ENSE00003634370, ENSE00003572517, ENSE00003547964, ENSE000036001","21","lysine (K)-specific demethylase 2A","Malignant neoplasm of stomach,Cardiomyopathy, Familial Idiopathic,Noninfiltrating Intraductal Carcinoma,Carcinogenesis,Invasive Ductal Breast Carcinoma,Malignant neoplasm of lung,Stomach Carcinoma,Carcinoma of lung,Neoplasm Metastasis,Non-Small Cell Lung Carcinoma,Malignant neoplasm of breast,Breast Carcinoma","NA","NA","NA","NA","NA","3422214"
"3084","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000174903","RAB1B","OTTHUMT00000391888","66268590-66276629","+","ENSE00001189449, ENSE00001189443, ENSE00001189438, ENSE00002712711, ENSE00002194125","5","RAB1B, member RAS oncogene family","Squamous cell carcinoma,Germ cell tumor,Myotonic Dystrophy,Congenital Myotonic Dystrophy,Neuroblastoma,Carcinogenesis,Leukemogenesis,Myocardial Ischemia,Neoplasm Metastasis,Central neuroblastoma,Malignant neoplasm of breast,Breast Carcinoma,Uterine Cervical Neoplasm","NA","NA","NA","NA","NA","3422214"
"3085","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173020","GRK2","OTTHUMT00000393154","67266481-67286536","+","ENSE00002149776, ENSE00003527156, ENSE00003636569, ENSE00003620531, ENSE00003685082, ENSE00003585934, ENSE00001186774, ENSE00001186767, ENSE00003490076, ENSE00003467342, ENSE00003585774, ENSE000035001","14","NA","NA","NA","NA","NA","NA","NA","3422214"
"3086","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000174669","SLC29A2","OTTHUMT00000402097","66362523-66372214","-","ENSE00003693226, ENSE00003494038, ENSE00003605597, ENSE00003521504, ENSE00003549563, ENSE00003575651, ENSE00003512896, ENSE00003693328, ENSE00001189124, ENSE00001189128, ENSE00001189132, ENSE000022244","13","solute carrier family 29 (equilibrative nucleoside transporter), member 2","Partial Trisomy,Chronic Lymphocytic Leukemia,Pituitary Diseases,Acute leukemia,Isodicentric Chromosome 15 Syndrome,Endometrial Neoplasms,melanoma,Precursor Cell Lymphoblastic Leukemia Lymphoma,Congenital chromosomal disease,Acute lymphocytic leukemia,Fatigue,Chromosome 9, partial trisomy 9p,Lipodystrophy,Sleep Disorders,Liver carcinoma,Multiple Endocrine Neoplasia Type 1,Eosinophilic disorder,Carcinogenesis,leukemia,Pneumonia,Leukemia, Myelocytic, Acute,Hepatitis C,Disorder characterized by eosinophilia,Trisomy,Eosinophilia,Chondromatosis,Chondroma,Sleep Initiation and Maintenance Disorders","NA","NA","NA","NA","NA","3422214"
"3087","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000175229","GAL3ST3","OTTHUMT00000391053","66042364-66045575","-","ENSE00002169557, ENSE00002153336","2","NA","NA","NA","NA","NA","NA","NA","3422214"
"3088","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000168062","BATF2","OTTHUMT00000385881","64989486-64997018","-","ENSE00002201688, ENSE00001414327, ENSE00002176921","3","basic leucine zipper transcription factor, ATF-like 2","Liver carcinoma,Influenza,melanoma,leukemia,Secondary malignant neoplasm of lymph node,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,Neoplasm Metastasis,Adenocarcinoma of lung (disorder),Disseminated Malignant Neoplasm","NA","NA","NA","NA","NA","3422214"
"3089","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000175564","UCP3","OTTHUMT00000398205","74006217-74007304","-","ENSE00002280948, ENSE00002284830","2","uncoupling protein 3 (mitochondrial, proton carrier)","Pediatric Obesity,Weight Loss Adverse Event,Heart failure,Overweight,Metabolic Syndrome X,Right Ventricular Hypertrophy,Malignant neoplasm of lung,Adenocarcinoma,Obesity, Morbid,Coronary Artery Disease,Coronary heart disease,Coronary Arteriosclerosis,Myocardial Reperfusion Injury,Amyotrophic Lateral Sclerosis,Atherosclerosis,Diabetes Mellitus, Insulin-Dependent,Cardiovascular Diseases,Diabetic Nephropathy,Sleep Apnea, Obstructive,Metabolic Diseases,Myocardial Infarction,Hyperinsulinism,Diabetes Mellitus, Non-Insulin-Dependent,Diabetes,Secondary malignant neoplasm of lymph node,Hyperthyroidism,Diabetes Mellitus, Experimental,Prostatic Neoplasms,Non-alcoholic Fatty Liver Disease,hearing impairment,Anorexia Nervosa,Prediabetes syndrome,Diabetic Neuropathies,Chronic Kidney Diseases,Diabetes Mellitus,Obesity,Kidney Failure, Chronic,Chronic Obstructive Airway Disease,Hypertensive disease,Obesity, Abdominal,Thyroid Gland Spindle Cell Tumor with Thymus-Like Differentiation,Impaired glucose tol","NA","NA","NA","NA","NA","3422214"
"3090","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000175592","FOSL1","OTTHUMT00000391170","65892645-65900419","-","ENSE00002186502, ENSE00002191266, ENSE00001190318, ENSE00002154414","4","FOS-like antigen 1","Squamous cell carcinoma,Seizures,Undifferentiated carcinoma,Fragile X Syndrome,Asthma,Colorectal Cancer,Heart failure,Nasopharyngeal carcinoma,Cervix carcinoma,Thyroid carcinoma,Fibromatosis, Aggressive,Malignant neoplasm of lung,IGA Glomerulonephritis,Adenocarcinoma,Triple Negative Breast Neoplasms,Neoplasm Metastasis,Non-Small Cell Lung Carcinoma,Malignant neoplasm of breast,Mammary Neoplasms,Fibromatosis,Psoriasis,Colon Carcinoma,melanoma,Malignant neoplasm of prostate,Goiter,Lung Neoplasms,Breast Diseases,Renal Cell Carcinoma,Gardner fibroma,Adenoma,Chagas Disease,Renal carcinoma,Deficiency of glucose-6-phosphate dehydrogenase,Breast Carcinoma,Mental Retardation,Ovarian Carcinoma,Pulmonary Fibrosis,Secondary malignant neoplasm of liver,Squamous cell carcinoma of esophagus,Tumor Progression,Prostate carcinoma,Malignant tumor of colon,Carcinogenesis,Non-alcoholic Fatty Liver Disease,Reperfusion Injury,Carcinoma of bladder,Pneumonia,Glioblastoma Multiforme,Colorectal Carcinoma,Thyroid","NA","NA","NA","NA","NA","3422214"
"3091","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000110237","ARHGEF17","OTTHUMT00000397366","73311565-73347195","+","ENSE00002234319, ENSE00002284411","2","Rho guanine nucleotide exchange factor (GEF) 17","melanoma,Pulmonary function (finding),Malignant tumor of colon,Secondary malignant neoplasm of lung,Colon Carcinoma","NA","NA","NA","NA","NA","3422214"
"3092","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173992","CCS","OTTHUMT00000393832","66593241-66605919","+","ENSE00002179133, ENSE00002197662, ENSE00001188303, ENSE00001188299, ENSE00003691875, ENSE00003664359, ENSE00003675175, ENSE00002165486","8","copper chaperone for superoxide dismutase","Cerebrovascular accident,AMYOTROPHIC LATERAL SCLEROSIS 1,Cytochrome-c Oxidase Deficiency,melanoma,Colorectal Cancer,Amyotrophic Lateral Sclerosis,Rhabdoid Tumor of the Kidney,Mitochondrial pathology,Lung Diseases, Interstitial,Colorectal Carcinoma,Hepatolenticular Degeneration,Hepatitis, Chronic","NA","NA","NA","NA","NA","3422214"
"3093","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000256514","AP003419.11","OTTHUMT00000396213","67351572-67373584","-","ENSE00002312661, ENSE00003668913, ENSE00003633554, ENSE00002266198","4","NA","NA","NA","NA","NA","NA","NA","3422214"
"3094","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000132746","ALDH3B2","OTTHUMT00000394008","67665548-67674731","-","ENSE00002142720, ENSE00003691017, ENSE00003514097, ENSE00003570758, ENSE00003626930, ENSE00002467257, ENSE00002141778","7","aldehyde dehydrogenase 3 family, member B2","Alcoholic Intoxication, Chronic","NA","NA","NA","NA","NA","3422214"
"3095","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000162302","RPS6KA4","OTTHUMT00000385369","64359284-64371341","+","ENSE00002431442, ENSE00003530162, ENSE00003591677, ENSE00003487953, ENSE00003538814, ENSE00003539479, ENSE00003598140, ENSE00003525146, ENSE00003479341, ENSE00003483503, ENSE00002150916, ENSE000034732","17","ribosomal protein S6 kinase, 90kDa, polypeptide 4","Rheumatoid Arthritis,Biliary cirrhosis,Primary biliary cirrhosis,Leprosy","NA","NA","NA","NA","NA","3422214"
"3096","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173511","VEGFB","OTTHUMT00000396396","64237536-64237901","+","ENSE00002299556, ENSE00002221595","2","vascular endothelial growth factor B","Heart failure,Meningioma,Pre-Eclampsia,Liver carcinoma,Mammary Neoplasms,Sentinel node (disorder),Inflammation,Neoplasm Metastasis,Non-Small Cell Lung Carcinoma,Ischemia,Carcinoma, Papillary,Premature Birth,Benign Neoplasm,Fetal Membranes, Premature Rupture,Atherosclerosis,nervous system disorder,Renal Cell Carcinoma,Myocardial Ischemia,Adenoma,Renal carcinoma,Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified,Myocardial Infarction,Ovarian Carcinoma,Epithelial ovarian cancer,Pancreatic Neoplasm,Tumor Progression,Uterine Corpus Cancer,Malignant tumor of colon,Endometrial Carcinoma,Malignant neoplasm of prostate,Colon Carcinoma,Left ventricular diastolic dysfunction,Secondary malignant neoplasm of lymph node,Pancreatic carcinoma,Neurodegenerative Disorders,Malignant neoplasm of pancreas,Retinal Vein Occlusion,Chorioamnionitis,Malignant neoplasm of endometrium,Astrocytoma,Disease Progression,Premature Obstetric Labor,Congestive heart","NA","NA","NA","NA","NA","3422214"
"3097","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000254997","KRTAP5","OTTHUMT00000393901","71548418-71549553","+","ENSE00002152790","1","NA","NA","NA","NA","NA","NA","NA","3422214"
"3098","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000110711","AIP","OTTHUMT00000395515","67483041-67490886","+","ENSE00001185865, ENSE00003705911, ENSE00003703875, ENSE00001185842, ENSE00003706675","5","aryl hydrocarbon receptor interacting protein","Growth Hormone-Producing Pituitary Gland Neoplasm,Pituitary Diseases,ACTH-Secreting Pituitary Adenoma,Prostate carcinoma,Nematode infections,Hereditary Nonpolyposis Colorectal Cancer,Multiple Endocrine Neoplasia,Pituitary Neoplasms,Growth Hormone-Secreting Pituitary Adenoma,Endocrine Gland Neoplasms,Acromegaly,McCune-Albright Syndrome,Pituitary carcinoma,Gigantism,Macroprolactinoma,Malignant neoplasm of prostate,Gigantism and acromegaly,Neuroblastoma,Hyperparathyroidism, Primary,Adenoma,Parathyroid Adenoma,Prolactinoma,Virus Diseases,Pituitary Adenoma,Liver carcinoma,Somatotrophinoma, Familial,Multiple Endocrine Neoplasia Type 1,Acute intermittent porphyria,Carcinogenesis,Hepatitis B,Porphobilinogen synthase deficiency,PITUITARY ADENOMA, FAMILIAL ISOLATED (disorder),Thyroid Neoplasm,Pituitary-dependent Cushing's disease,Liver neoplasms,PITUITARY ADENOMA PREDISPOSITION (disorder)","NA","NA","NA","NA","NA","3422214"
"3099","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173457","PPP1R14B","OTTHUMT00000396587","64244549-64245816","-","ENSE00001511113, ENSE00001195861, ENSE00002312223","3","protein phosphatase 1, regulatory (inhibitor) subunit 14B","Parasitemia,HIV Infections,melanoma,Acquired CJD","NA","NA","NA","NA","NA","3422214"
"3100","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000172613","RAD9A","OTTHUMT00000396215","67391958-67396312","+","ENSE00002209437, ENSE00003574680, ENSE00003525058, ENSE00002321387, ENSE00003558686, ENSE00003465447, ENSE00003483129, ENSE00003689755, ENSE00002301897","9","RAD9 homolog A (S. pombe)","Colorectal Neoplasms,Neoplasms, Second Primary,invasive cancer,Carcinogenesis,Prostatic Neoplasms,Prostate carcinoma,Malignant neoplasm of lung,Congenital chromosomal disease,Mammary Neoplasms,Echinococcosis,Malignant Childhood Neoplasm,Malignant neoplasm of skin,Carcinoma of lung,Adenocarcinoma of lung (disorder),Non-Small Cell Lung Carcinoma,Malignant neoplasm of breast,Breast Carcinoma,Malignant neoplasm of prostate","NA","NA","NA","NA","NA","3422214"
"3101","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000168071","CCDC88B","OTTHUMT00000107462","64348831-64357525","+","ENSE00001420615, ENSE00003660362, ENSE00003487269, ENSE00003650835, ENSE00003593272, ENSE00003657138, ENSE00003478300, ENSE00003660820, ENSE00003653068, ENSE00003598759, ENSE00001474621, ENSE000036015","14","coiled-coil domain containing 88B","Immune System Diseases,Sarcoidosis,Leprosy","NA","NA","NA","NA","NA","3422214"
"3102","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000173621","LRFN4","OTTHUMT00000393126","66857118-66860475","+","ENSE00001686827, ENSE00001516995, ENSE00002154817","3","NA","NA","NA","NA","NA","NA","NA","3422214"
"3103","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000149761","NUDT22","OTTHUMT00000396646","64226609-64229539","+","ENSE00002317803, ENSE00002230435, ENSE00001196025, ENSE00000728414, ENSE00002248248","5","nudix (nucleoside diphosphate linked moiety X)-type motif 22","Attention deficit hyperactivity disorder","NA","NA","NA","NA","NA","3422214"
"3104","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000085741","WNT11","OTTHUMT00000383085","76206392-76210736","-","ENSE00002144118, ENSE00002175366, ENSE00002147856","3","wingless-type MMTV integration site family, member 11","Neoplasms, Second Primary,Prostate carcinoma,Cleft Palate,Hepatocarcinogenesis,Ureteral obstruction,Adenocarcinoma,Renal fibrosis,Malignant neoplasm of breast,Mammary Neoplasms,Breast Carcinoma,Colorectal Cancer,Malignant neoplasm of prostate,Renal Cell Carcinoma,Cleft Lip,Electrocardiogram: P-R interval,Secondary malignant neoplasm of bone,Tumor Progression,Liver carcinoma,Malignant tumor of colon,Carcinogenesis,Prostatic Neoplasms,leukemia,Leukemia, Myelocytic, Acute,Colorectal Carcinoma,Prostatic Hypertrophy,Peripheral Neuropathy,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Dental Enamel Hypoplasia,Adenomatous Polyposis Coli,Tobacco Use Disorder,Bacterial Infections,Neoplasm Recurrence, Local,Colon Carcinoma,Head and Neck Neoplasms","NA","NA","NA","NA","NA","3422214"
"3105","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000165462","PHOX2A","OTTHUMT00000396884","72239077-72241192","-","ENSE00002287327, ENSE00002203337","2","paired-like homeobox 2a","Ptosis,Hypertensive disease,Congenital Abnormality,Exotropia,Neuroblastoma,FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 2,Mental Retardation, X-Linked,Epilepsy,Neurodevelopmental Disorders,Blepharoptosis,Muscular fasciculation,Congenital Fibrosis of the Extraocular Muscles,Central neuroblastoma,Down Syndrome,Fibrosis,Diabetes Mellitus, Non-Insulin-Dependent,Strabismus","NA","NA","NA","NA","NA","3422214"
"3106","chromosome11","FRA11H","63400001-77100000","11q13","Aphidicolin","Common","ENSG00000110057","UNC93B1","OTTHUMT00000394731","67998387-68004982","-","ENSE00002144888, ENSE00003650035, ENSE00003682505, ENSE00003663353, ENSE00003655916, ENSE00002179558","6","unc-93 homolog B1 (C. elegans)","Herpesviridae Infections,Toxoplasmosis,Herpes Simplex Infections,Herpes encephalitis,HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBILITY TO, 1,Encephalitis","NA","NA","NA","NA","NA","3422214"
